eventID,station,eventDate,Year,Month,Day,decimalLatitude,decimalLongitude,minimumDepthInMeters,maximumDepthInMeters,sampleSizeValue,fieldNotes,samplingEffort,sampleSizeUnit,geodeticDatum,eventRemarks,footprintWKT,coordinateUncertaintyInMeters,language,modified,license,informationWithheld
IYS2022-TINRO-3-1-Bongo-1,1,2022-03-02T02:58:00Z,2022,3,2,48.6283,-172.365,0,250,49.0625,,volume seawater filtered,cubic meters,WGS84,Sampling event occurred during the day.,POINT  ( -172.365   48.6283 ),0,en,2023-11-15,https://creativecommons.org/licenses/by/4.0/legalcode,"Contact data provider for information on abundance, sizes and biomass."
IYS2022-TINRO-3-3-Bongo-1,3,2022-03-02T00:31:00Z,2022,3,2,47.8853,-169.4717,0,250,49.0625,paper field tag in jar was in shredded pieces so unable to read data,volume seawater filtered,cubic meters,WGS84,Sampling event occurred during the day.,POINT  ( -169.4717   47.8853 ),0,en,2023-11-15,https://creativecommons.org/licenses/by/4.0/legalcode,"Contact data provider for information on abundance, sizes and biomass."
IYS2022-TINRO-3-4-Bongo-1,4,2022-03-04T05:12:00Z,2022,3,4,47.1218,-170.2465,0,250,49.0625,,volume seawater filtered,cubic meters,WGS84,Sampling event occurred during the day.,POINT  ( -170.2465   47.1218 ),0,en,2023-11-15,https://creativecommons.org/licenses/by/4.0/legalcode,"Contact data provider for information on abundance, sizes and biomass."
IYS2022-TINRO-3-5-Bongo-1,5,2022-03-04T15:38:00Z,2022,3,4,46.286,-169.4083,0,255,50.04375,"stickey sample, C. c. and N. sp in poor shap,",volume seawater filtered,cubic meters,WGS84,Sampling event occurred during the night.,POINT  ( -169.4083   46.286 ),0,en,2023-11-15,https://creativecommons.org/licenses/by/4.0/legalcode,"Contact data provider for information on abundance, sizes and biomass."
IYS2022-TINRO-3-6-Bongo-1,6,2022-03-05T00:41:00Z,2022,3,5,45.4917,-168.5283,0,250,49.0625,,volume seawater filtered,cubic meters,WGS84,Sampling event occurred during the day.,POINT  ( -168.5283   45.4917 ),0,en,2023-11-15,https://creativecommons.org/licenses/by/4.0/legalcode,"Contact data provider for information on abundance, sizes and biomass."
IYS2022-TINRO-3-7-Bongo-1,7,2022-03-05T08:45:00Z,2022,3,5,45.3843,-167.1688,0,250,49.0625,,volume seawater filtered,cubic meters,WGS84,Sampling event occurred during the night.,POINT  ( -167.1688   45.3843 ),0,en,2023-11-15,https://creativecommons.org/licenses/by/4.0/legalcode,"Contact data provider for information on abundance, sizes and biomass."
IYS2022-TINRO-3-8-Bongo-1,8,2022-03-05T17:39:00Z,2022,3,5,46.3983,-167.2067,0,250,49.0625,,volume seawater filtered,cubic meters,WGS84,Sampling event occurred during the day.,POINT  ( -167.2067   46.3983 ),0,en,2023-11-15,https://creativecommons.org/licenses/by/4.0/legalcode,"Contact data provider for information on abundance, sizes and biomass."
IYS2022-TINRO-3-9-Bongo-1,9,2022-03-06T03:30:00Z,2022,3,6,47.5033,-167.2575,0,250,49.0625,,volume seawater filtered,cubic meters,WGS84,Sampling event occurred during the day.,POINT  ( -167.2575   47.5033 ),0,en,2023-11-15,https://creativecommons.org/licenses/by/4.0/legalcode,"Contact data provider for information on abundance, sizes and biomass."
IYS2022-TINRO-3-10-Bongo-1,10,2022-03-06T12:15:00Z,2022,3,6,48.5393,-167.2583,0,250,49.0625,,volume seawater filtered,cubic meters,WGS84,Sampling event occurred during the night.,POINT  ( -167.2583   48.5393 ),0,en,2023-11-15,https://creativecommons.org/licenses/by/4.0/legalcode,"Contact data provider for information on abundance, sizes and biomass."
IYS2022-TINRO-3-11-Bongo-1,11,2022-03-07T22:34:00Z,2022,3,7,49.0483,-169.03,0,260,51.025,paper field tag in jar was in shredded pieces so unable to read data,volume seawater filtered,cubic meters,WGS84,Sampling event occurred during the day.,POINT  ( -169.03   49.0483 ),0,en,2023-11-15,https://creativecommons.org/licenses/by/4.0/legalcode,"Contact data provider for information on abundance, sizes and biomass."
